1111060,2020-12-16 00:06:01.471355+00,2020-12-16 00:06:01.471369+00,,,MATANGKULI,,,1111,
1111061,2020-12-16 00:06:01.474068+00,2020-12-16 00:06:01.474081+00,,,PAYA BAKONG,,,1111,
1111062,2020-12-16 00:06:01.476695+00,2020-12-16 00:06:01.47671+00,,,PIRAK TIMU,,,1111,
1111070,2020-12-16 00:06:01.479618+00,2020-12-16 00:06:01.479632+00,,,COT GIREK,,,1111,
1111080,2020-12-16 00:06:01.482219+00,2020-12-16 00:06:01.482234+00,,,TANAH JAMBO AYE,,,1111,
1111081,2020-12-16 00:06:01.48473+00,2020-12-16 00:06:01.484745+00,,,LANGKAHAN,,,1111,
1111090,2020-12-16 00:06:01.487337+00,2020-12-16 00:06:01.487352+00,,,SEUNUDDON,,,1111,
1111100,2020-12-16 00:06:01.489931+00,2020-12-16 00:06:01.489944+00,,,BAKTIYA,,,1111,
1111101,2020-12-16 00:06:01.492394+00,2020-12-16 00:06:01.492407+00,,,BAKTIYA BARAT,,,1111,
1111110,2020-12-16 00:06:01.494716+00,2020-12-16 00:06:01.494728+00,,,LHOKSUKON,,,1111,
1111120,2020-12-16 00:06:01.497063+00,2020-12-16 00:06:01.497075+00,,,TANAH LUAS,,,1111,
1111121,2020-12-16 00:06:01.499638+00,2020-12-16 00:06:01.499651+00,,,NIBONG,,,1111,
1111130,2020-12-16 00:06:01.502201+00,2020-12-16 00:06:01.502216+00,,,SAMUDERA,,,1111,
1111140,2020-12-16 00:06:01.504803+00,2020-12-16 00:06:01.504816+00,,,SYAMTALIRA ARON,,,1111,
1111150,2020-12-16 00:06:01.507225+00,2020-12-16 00:06:01.507239+00,,,TANAH PASIR,,,1111,
1111151,2020-12-16 00:06:01.509627+00,2020-12-16 00:06:01.509641+00,,,LAPANG,,,1111,
1111160,2020-12-16 00:06:01.512127+00,2020-12-16 00:06:01.512145+00,,,MUARA BATU,,,1111,
1111170,2020-12-16 00:06:01.515258+00,2020-12-16 00:06:01.515276+00,,,DEWANTARA,,,1111,
1112010,2020-12-16 00:06:01.518289+00,2020-12-16 00:06:01.518303+00,,,MANGGENG,,,1112,
1112011,2020-12-16 00:06:01.521156+00,2020-12-16 00:06:01.52117+00,,,LEMBAH SABIL,,,1112,
1112020,2020-12-16 00:06:01.523816+00,2020-12-16 00:06:01.523831+00,,,TANGAN-TANGAN,,,1112,
1112021,2020-12-16 00:06:01.526898+00,2020-12-16 00:06:01.526912+00,,,SETIA,,,1112,
1112030,2020-12-16 00:06:01.529587+00,2020-12-16 00:06:01.529601+00,,,BLANG PIDIE,,,1112,
1112031,2020-12-16 00:06:01.532048+00,2020-12-16 00:06:01.532062+00,,,JEUMPA,,,1112,
1112040,2020-12-16 00:06:01.534844+00,2020-12-16 00:06:01.534858+00,,,SUSOH,,,1112,
1112050,2020-12-16 00:06:01.537738+00,2020-12-16 00:06:01.537753+00,,,KUALA BATEE,,,1112,
1112060,2020-12-16 00:06:01.54078+00,2020-12-16 00:06:01.540803+00,,,BABAH ROT,,,1112,
1113010,2020-12-16 00:06:01.543786+00,2020-12-16 00:06:01.543808+00,,,KUTA PANJANG,,,1113,
1113011,2020-12-16 00:06:01.546811+00,2020-12-16 00:06:01.546834+00,,,BLANG JERANGO,,,1113,
1113020,2020-12-16 00:06:01.550276+00,2020-12-16 00:06:01.5503+00,,,BLANGKEJEREN,,,1113,
1113021,2020-12-16 00:06:01.553726+00,2020-12-16 00:06:01.553752+00,,,PUTRI BETUNG,,,1113,
1113022,2020-12-16 00:06:01.556681+00,2020-12-16 00:06:01.556703+00,,,DABUN GELANG,,,1113,
1113023,2020-12-16 00:06:01.559579+00,2020-12-16 00:06:01.5596+00,,,BLANG PEGAYON,,,1113,
1113030,2020-12-16 00:06:01.562616+00,2020-12-16 00:06:01.562639+00,,,PINING,,,1113,
1113040,2020-12-16 00:06:01.565924+00,2020-12-16 00:06:01.565948+00,,,RIKIT GAIB,,,1113,
1113041,2020-12-16 00:06:01.569124+00,2020-12-16 00:06:01.569148+00,,,PANTAN CUACA,,,1113,
1113050,2020-12-16 00:06:01.572352+00,2020-12-16 00:06:01.57238+00,,,TERANGUN,,,1113,
1113051,2020-12-16 00:06:01.575952+00,2020-12-16 00:06:01.575978+00,,,TRIPE JAYA,,,1113,
1114010,2020-12-16 00:06:01.579161+00,2020-12-16 00:06:01.579186+00,,,TAMIANG HULU,,,1114,
1114011,2020-12-16 00:06:01.582803+00,2020-12-16 00:06:01.582838+00,,,BANDAR PUSAKA,,,1114,
1114020,2020-12-16 00:06:01.586359+00,2020-12-16 00:06:01.586381+00,,,KEJURUAN MUDA,,,1114,
1114021,2020-12-16 00:06:01.589408+00,2020-12-16 00:06:01.58943+00,,,TENGGULUN,,,1114,
1114030,2020-12-16 00:06:01.592635+00,2020-12-16 00:06:01.59266+00,,,RANTAU,,,1114,
1114040,2020-12-16 00:06:01.595894+00,2020-12-16 00:06:01.59592+00,,,KOTA KUALA SIMPANG,,,1114,
1114050,2020-12-16 00:06:01.599289+00,2020-12-16 00:06:01.599314+00,,,SERUWAY,,,1114,
1114060,2020-12-16 00:06:01.602716+00,2020-12-16 00:06:01.602741+00,,,BENDAHARA,,,1114,
1114061,2020-12-16 00:06:01.605766+00,2020-12-16 00:06:01.60579+00,,,BANDA MULIA,,,1114,
1114070,2020-12-16 00:06:01.608901+00,2020-12-16 00:06:01.608925+00,,,KARANG BARU,,,1114,
1114071,2020-12-16 00:06:01.612348+00,2020-12-16 00:06:01.612372+00,,,SEKERAK,,,1114,
1114080,2020-12-16 00:06:01.616067+00,2020-12-16 00:06:01.616094+00,,,MANYAK PAYED,,,1114,
